Sample ID (Collaborator)	Sex	Population name	Superpopulation name	Population description	Sample ID (Illumina)	Sample ID (SGDP)
HGDP00428	male	Burusho	South Asia	Burusho in Pakistan	LP6005441-DNA_E03	S_Burusho-1
HGDP00338	female	Burusho	South Asia	Burusho in Pakistan	LP6005441-DNA_F03	S_Burusho-2
HGDP00714	male	Cambodian	Southeast Asia	Cambodian in Cambodia	NA	NA
HGDP00719	female	Cambodian	Southeast Asia	Cambodian in Cambodia	NA	NA
HGDP00721	female	Cambodian	Southeast Asia	Cambodian in Cambodia	NA	NA
HGDP00720	male	Cambodian	Southeast Asia	Cambodian in Cambodia	NA	NA
HGDP00715	male	Cambodian	Southeast Asia	Cambodian in Cambodia	NA	NA
HGDP00712	female	Cambodian	Southeast Asia	Cambodian in Cambodia	NA	NA
HGDP00711	male	Cambodian	Southeast Asia	Cambodian in Cambodia	NA	NA
HGDP00716	male	Cambodian	Southeast Asia	Cambodian in Cambodia	NA	NA
HGDP00713	female	Cambodian	Southeast Asia	Cambodian in Cambodia	LP6005441-DNA_H03	S_Cambodian-2
HGDP00717	male	Cambodian	Southeast Asia	Cambodian in Cambodia	LP6005441-DNA_G03	S_Cambodian-1
NA12828	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12830	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12842	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12873	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12878	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12892	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10860	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10865	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11832	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11882	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11894	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11919	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11933	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11995	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12006	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12044	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12056	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12145	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12234	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12239	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12272	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10852	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10857	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10864	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12335	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11829	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12342	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11831	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12347	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11843	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12400	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11881	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11893	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12739	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11918	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12753	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11920	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12760	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11932	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12777	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11994	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12005	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12043	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA06984	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA06989	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA06991	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07014	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07019	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07045	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07348	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12752	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10839	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12776	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10846	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12815	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12827	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12865	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12872	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12877	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12889	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12891	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12144	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12156	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12264	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12283	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12341	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12485	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12707	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12740	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07051	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07056	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07347	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10838	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10840	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10845	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA06995	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07037	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12766	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12778	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12812	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12817	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12829	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12843	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12874	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12273	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12329	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12336	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12343	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12348	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12386	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12413	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12716	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12761	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10863	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11830	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11892	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11917	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11931	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11993	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12004	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12155	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12249	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12275	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12282	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12287	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA06985	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12340	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA06997	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12376	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07022	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12383	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07034	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12489	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10859	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12718	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10861	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12749	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11840	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12751	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12045	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12763	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12057	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12775	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12146	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12802	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07349	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12814	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10830	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10835	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA06994	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10842	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07000	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10847	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07029	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10854	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07031	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07048	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07055	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07346	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07435	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12864	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12890	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10837	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10851	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10856	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12248	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12274	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12286	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12344	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12399	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12414	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12546	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12717	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12748	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12750	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12762	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12767	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12801	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12813	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12818	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12832	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12875	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10855	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11839	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11891	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11930	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA11992	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12003	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12046	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12058	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12154	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07345	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA07357	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10831	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10836	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA10843	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA06986	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA06993	male	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
NA12236	female	CEPH	Europe	Utah residents (CEPH) with Northern and Western European ancestry	NA	NA
TGBS21	male	Chane	America	Chane in Argentina	LP6005519-DNA_D01	S_Chane-1
ch113	male	Chechen	Caucasus	Chechen in Russia	LP6005442-DNA_D03	S_Chechen-1
Sir19	male	Chukchi	Central Asia and Siberia	Chukchi in Russia	LP6005443-DNA_C03	S_Chukchi-1
HGDP00703	male	Colombian	America	Colombian in Colombia	NA	NA
HGDP00708	female	Colombian	America	Colombian in Colombia	NA	NA
HGDP00710	male	Colombian	America	Colombian in Colombia	NA	NA
HGDP00704	female	Colombian	America	Colombian in Colombia	NA	NA
HGDP00970	female	Colombian	America	Colombian in Colombia	NA	NA
HG01142	male	Colombian	America	Colombian in Colombia	NA	NA
HG01250	male	Colombian	America	Colombian in Colombia	NA	NA
HG01141	female	Colombian	America	Colombian in Colombia	NA	NA
HG01130	male	Colombian	America	Colombian in Colombia	NA	NA
HG01135	male	Colombian	America	Colombian in Colombia	NA	NA
HG01344	male	Colombian	America	Colombian in Colombia	NA	NA
HG01349	female	Colombian	America	Colombian in Colombia	NA	NA
HG01351	female	Colombian	America	Colombian in Colombia	NA	NA
HG01122	female	Colombian	America	Colombian in Colombia	NA	NA
HG01356	male	Colombian	America	Colombian in Colombia	NA	NA
HG01134	female	Colombian	America	Colombian in Colombia	NA	NA
HG01363	female	Colombian	America	Colombian in Colombia	NA	NA
HG01139	male	Colombian	America	Colombian in Colombia	NA	NA
HG01255	male	Colombian	America	Colombian in Colombia	NA	NA
HG01274	male	Colombian	America	Colombian in Colombia	NA	NA
HG01279	female	Colombian	America	Colombian in Colombia	NA	NA
HG01281	female	Colombian	America	Colombian in Colombia	NA	NA
HG01433	male	Colombian	America	Colombian in Colombia	NA	NA
HG01438	female	Colombian	America	Colombian in Colombia	NA	NA
HG01440	male	Colombian	America	Colombian in Colombia	NA	NA
HG01343	female	Colombian	America	Colombian in Colombia	NA	NA
HG01348	female	Colombian	America	Colombian in Colombia	NA	NA
HG01457	male	Colombian	America	Colombian in Colombia	NA	NA
HG01350	male	Colombian	America	Colombian in Colombia	NA	NA
HG01464	male	Colombian	America	Colombian in Colombia	NA	NA
HG01355	female	Colombian	America	Colombian in Colombia	NA	NA
HG01362	male	Colombian	America	Colombian in Colombia	NA	NA
HG01367	female	Colombian	America	Colombian in Colombia	NA	NA
HG01254	female	Colombian	America	Colombian in Colombia	NA	NA
HG01259	male	Colombian	America	Colombian in Colombia	NA	NA
HG01261	male	Colombian	America	Colombian in Colombia	NA	NA
HG01273	male	Colombian	America	Colombian in Colombia	NA	NA
HG01278	female	Colombian	America	Colombian in Colombia	NA	NA
HG01280	male	Colombian	America	Colombian in Colombia	NA	NA
HG01552	male	Colombian	America	Colombian in Colombia	NA	NA
HG01488	male	Colombian	America	Colombian in Colombia	NA	NA
HG01490	female	Colombian	America	Colombian in Colombia	NA	NA
HG01495	female	Colombian	America	Colombian in Colombia	NA	NA
HG01432	female	Colombian	America	Colombian in Colombia	NA	NA
HG01437	male	Colombian	America	Colombian in Colombia	NA	NA
HG01444	female	Colombian	America	Colombian in Colombia	NA	NA
HG01456	female	Colombian	America	Colombian in Colombia	NA	NA
HG01463	female	Colombian	America	Colombian in Colombia	NA	NA
HG01375	female	Colombian	America	Colombian in Colombia	NA	NA
HG01374	male	Colombian	America	Colombian in Colombia	NA	NA
HG01379	female	Colombian	America	Colombian in Colombia	NA	NA
HG01468	female	Colombian	America	Colombian in Colombia	NA	NA
HG01494	male	Colombian	America	Colombian in Colombia	NA	NA
HG01499	male	Colombian	America	Colombian in Colombia	NA	NA
HG01114	female	Colombian	America	Colombian in Colombia	NA	NA
HG01119	female	Colombian	America	Colombian in Colombia	NA	NA
HG01121	male	Colombian	America	Colombian in Colombia	NA	NA
HG01126	male	Colombian	America	Colombian in Colombia	NA	NA
HG01133	male	Colombian	America	Colombian in Colombia	NA	NA
HG01138	male	Colombian	America	Colombian in Colombia	NA	NA
HG01148	male	Colombian	America	Colombian in Colombia	NA	NA
HG01140	female	Colombian	America	Colombian in Colombia	NA	NA
HG01150	female	Colombian	America	Colombian in Colombia	NA	NA
HG01251	female	Colombian	America	Colombian in Colombia	NA	NA
HG01345	female	Colombian	America	Colombian in Colombia	NA	NA
HG01352	female	Colombian	America	Colombian in Colombia	NA	NA
HG01357	female	Colombian	America	Colombian in Colombia	NA	NA
HG01369	female	Colombian	America	Colombian in Colombia	NA	NA
HG01112	male	Colombian	America	Colombian in Colombia	NA	NA
HG01124	male	Colombian	America	Colombian in Colombia	NA	NA
HG01131	female	Colombian	America	Colombian in Colombia	NA	NA
HG01136	male	Colombian	America	Colombian in Colombia	NA	NA
HG01376	female	Colombian	America	Colombian in Colombia	NA	NA
HG01383	male	Colombian	America	Colombian in Colombia	NA	NA
HG01390	female	Colombian	America	Colombian in Colombia	NA	NA
HG01439	female	Colombian	America	Colombian in Colombia	NA	NA
HG01441	female	Colombian	America	Colombian in Colombia	NA	NA
HG01465	female	Colombian	America	Colombian in Colombia	NA	NA
HG01253	male	Colombian	America	Colombian in Colombia	NA	NA
HG01258	male	Colombian	America	Colombian in Colombia	NA	NA
HG01256	male	Colombian	America	Colombian in Colombia	NA	NA
HG01260	female	Colombian	America	Colombian in Colombia	NA	NA
HG01275	female	Colombian	America	Colombian in Colombia	NA	NA
HG01272	female	Colombian	America	Colombian in Colombia	NA	NA
HG01277	male	Colombian	America	Colombian in Colombia	NA	NA
HG01284	female	Colombian	America	Colombian in Colombia	NA	NA
HG01489	female	Colombian	America	Colombian in Colombia	NA	NA
HG01491	male	Colombian	America	Colombian in Colombia	NA	NA
HG01342	female	Colombian	America	Colombian in Colombia	NA	NA
HG01496	female	Colombian	America	Colombian in Colombia	NA	NA
HG01347	male	Colombian	America	Colombian in Colombia	NA	NA
HG01354	female	Colombian	America	Colombian in Colombia	NA	NA
HG01359	male	Colombian	America	Colombian in Colombia	NA	NA
HG01361	female	Colombian	America	Colombian in Colombia	NA	NA
HG01366	female	Colombian	America	Colombian in Colombia	NA	NA
HG01474	female	Colombian	America	Colombian in Colombia	NA	NA
HG01479	male	Colombian	America	Colombian in Colombia	NA	NA
HG01486	female	Colombian	America	Colombian in Colombia	NA	NA
HG01493	female	Colombian	America	Colombian in Colombia	NA	NA
HG01498	female	Colombian	America	Colombian in Colombia	NA	NA
HG01378	female	Colombian	America	Colombian in Colombia	NA	NA
HG01385	female	Colombian	America	Colombian in Colombia	NA	NA
HG01551	female	Colombian	America	Colombian in Colombia	NA	NA
HG01556	male	Colombian	America	Colombian in Colombia	NA	NA
HG01431	male	Colombian	America	Colombian in Colombia	NA	NA
HG01443	male	Colombian	America	Colombian in Colombia	NA	NA
HG01455	male	Colombian	America	Colombian in Colombia	NA	NA
HG01462	female	Colombian	America	Colombian in Colombia	NA	NA
HG01341	male	Colombian	America	Colombian in Colombia	NA	NA
HG01346	female	Colombian	America	Colombian in Colombia	NA	NA
HG01353	male	Colombian	America	Colombian in Colombia	NA	NA
HG01358	male	Colombian	America	Colombian in Colombia	NA	NA
HG01360	female	Colombian	America	Colombian in Colombia	NA	NA
HG01365	male	Colombian	America	Colombian in Colombia	NA	NA
HG01149	female	Colombian	America	Colombian in Colombia	NA	NA
HG01252	male	Colombian	America	Colombian in Colombia	NA	NA
HG01113	female	Colombian	America	Colombian in Colombia	NA	NA
HG01125	female	Colombian	America	Colombian in Colombia	NA	NA
HG01137	female	Colombian	America	Colombian in Colombia	NA	NA
HG01257	female	Colombian	America	Colombian in Colombia	NA	NA
HG01269	female	Colombian	America	Colombian in Colombia	NA	NA
HG01271	male	Colombian	America	Colombian in Colombia	NA	NA
HG01276	female	Colombian	America	Colombian in Colombia	NA	NA
HG01550	male	Colombian	America	Colombian in Colombia	NA	NA
HG01372	female	Colombian	America	Colombian in Colombia	NA	NA
HG01377	male	Colombian	America	Colombian in Colombia	NA	NA
HG01384	female	Colombian	America	Colombian in Colombia	NA	NA
HG01389	male	Colombian	America	Colombian in Colombia	NA	NA
HG01391	female	Colombian	America	Colombian in Colombia	NA	NA
HG01435	female	Colombian	America	Colombian in Colombia	NA	NA
HG01447	female	Colombian	America	Colombian in Colombia	NA	NA
HG01459	female	Colombian	America	Colombian in Colombia	NA	NA
HG01461	male	Colombian	America	Colombian in Colombia	NA	NA
HG01466	female	Colombian	America	Colombian in Colombia	NA	NA
HG01485	male	Colombian	America	Colombian in Colombia	NA	NA
HG01492	female	Colombian	America	Colombian in Colombia	NA	NA
HG01497	male	Colombian	America	Colombian in Colombia	NA	NA
TZ-11	male	Crete	Europe	Crete in Greece	LP6007068-DNA_A01	B_Crete-2
AV-21	female	Crete	Europe	Crete in Greece	LP6007069-DNA_A01	B_Crete-1
NA15728	male	Czech	Europe	Czech in Czechoslovakia(pre1989)	LP6005443-DNA_H05	S_Czech-2
HGDP01313	male	Dai	East Asia	Dai in China	NA	NA
HGDP01309	male	Dai	East Asia	Dai in China	NA	NA
HGDP01311	male	Dai	East Asia	Dai in China	NA	NA
HGDP01316	female	Dai	East Asia	Dai in China	NA	NA
HGDP01310	male	Dai	East Asia	Dai in China	NA	NA
HGDP01312	male	Dai	East Asia	Dai in China	LP6005443-DNA_B01	S_Dai-2
HGDP01314	female	Dai	East Asia	Dai in China	LP6005592-DNA_D03	S_Dai-1
HGDP01315	female	Dai	East Asia	Dai in China	LP6005441-DNA_D04	S_Dai-3
HGDP01308	male	Dai	East Asia	Dai in China	SS6004467	B_Dai-4
HG00978	female	Dai	East Asia	Dai in China	NA	NA
HG00864	female	Dai	East Asia	Dai in China	NA	NA
HG01046	female	Dai	East Asia	Dai in China	NA	NA
HG01798	female	Dai	East Asia	Dai in China	NA	NA
HG01801	female	Dai	East Asia	Dai in China	NA	NA
HG01806	female	Dai	East Asia	Dai in China	NA	NA
HG01813	female	Dai	East Asia	Dai in China	NA	NA
HG02188	female	Dai	East Asia	Dai in China	NA	NA
HG02190	female	Dai	East Asia	Dai in China	NA	NA
HG01817	female	Dai	East Asia	Dai in China	NA	NA
HG02152	female	Dai	East Asia	Dai in China	NA	NA
HG02164	female	Dai	East Asia	Dai in China	NA	NA
HG01797	female	Dai	East Asia	Dai in China	NA	NA
HG01800	female	Dai	East Asia	Dai in China	NA	NA
HG01805	female	Dai	East Asia	Dai in China	NA	NA
