Population code	Population elastic ID	Population name	Population description	Population latitude	Population longitude	Superpopulation code	Superpopulation name	Superpopulation display colour	Superpopulation display order	Data collections
	TujiaSGDP	Tujia	Tujia in China (SGDP)	29.000000	109.000000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	AdygeiSGDP	Adygei	Adygei in Russia(Caucasus) (SGDP)	44.000000	39.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	CreteSGDP	Crete	Crete in Greece (SGDP)	35.341846	25.148254		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	AleutSGDP	Aleut	Aleut in Russia (SGDP)	55.180000	166.000000		Central Asia and Siberia (SGDP)	#01daa0	15	Simons Genome Diversity Project
	MadigaSGDP	Madiga	Madiga in India (SGDP)	17.700000	83.300000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	SheSGDP	She	She in China (SGDP)	27.000000	119.000000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	SamaritanSGDP	Samaritan	Samaritan in Israel (SGDP)	32.200000	35.300000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	KalashSGDP	Kalash	Kalash in Pakistan (SGDP)	36.000000	71.500000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	TubalarSGDP	Tubalar	Tubalar in Russia (SGDP)	51.133333	87.000000		Central Asia and Siberia (SGDP)	#01daa0	15	Simons Genome Diversity Project
	NorthOssetianSGDP	North Ossetian	North Ossetian in Russia (SGDP)	43.000000	44.700000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	MendeSGDP	Mende	Mende in Sierra Leone (SGDP)	8.500000	-13.200000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	LezginSGDP	Lezgin	Lezgin in Russia (SGDP)	42.100000	48.200000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	BalochiSGDP	Balochi	Balochi in Pakistan (SGDP)	30.500000	66.500000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	KhomaniSanSGDP	Khomani San	Khomani San in South Africa (SGDP)	-27.000000	20.800000		Africa (SGDP)	#12eeff	13	Simons Genome Diversity Project
	ZapotecSGDP	Zapotec	Zapotec in Mexico (SGDP)	16.500000	-97.200000		America (SGDP)	#310079	14	Simons Genome Diversity Project
	CzechSGDP	Czech	Czech in Czechoslovakia(pre1989) (SGDP)	50.100000	14.400000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	LahuSGDP	Lahu	Lahu in China (SGDP)	22.000000	100.000000		East Asia (SGDP)	#ff48de	16	Simons Genome Diversity Project
	BasqueSGDP	Basque	Basque in France (SGDP)	43.000000	0.000000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
	KhondaDoraSGDP	Khonda Dora	Khonda Dora in India (SGDP)	18.300000	82.900000		South Asia (SGDP)	#008c1e	18	Simons Genome Diversity Project
	EstonianSGDP	Estonian	Estonian in Estonia (SGDP)	58.500000	24.900000		West Eurasia (SGDP)	#001f54	19	Simons Genome Diversity Project
