idx,gcp_service_id,gcp_service,gcp_total_cost,month,service_id,service,metamist_total_cost,diff
Stackdriver Monitoring|202110|58CD-E7C3-72CA,58CD-E7C3-72CA,Stackdriver Monitoring,0.0,202110,58CD-E7C3-72CA,Stackdriver Monitoring,0.0,0.0
Stackdriver Monitoring|202110|seqr,0,0,0.0,202110,seqr,Stackdriver Monitoring,0.0,0.0
Stackdriver Monitoring|202111|58CD-E7C3-72CA,58CD-E7C3-72CA,Stackdriver Monitoring,0.0,202111,58CD-E7C3-72CA,Stackdriver Monitoring,0.0,0.0
Stackdriver Monitoring|202111|seqr,0,0,0.0,202111,seqr,Stackdriver Monitoring,0.0,0.0
Stackdriver Monitoring|202112|58CD-E7C3-72CA,58CD-E7C3-72CA,Stackdriver Monitoring,0.0,202112,58CD-E7C3-72CA,Stackdriver Monitoring,0.0,0.0
Stackdriver Monitoring|202112|seqr,0,0,0.0,202112,seqr,Stackdriver Monitoring,0.0,0.0
Support|202107|2062-016F-44A2,2062-016F-44A2,Support,131.79215999999994,202107,2062-016F-44A2,Support,131.7921599999999,-2.842170943040401e-14
Support|202108|2062-016F-44A2,2062-016F-44A2,Support,134.42889599999998,202108,2062-016F-44A2,Support,134.42889599999995,-2.842170943040401e-14
Support|202109|2062-016F-44A2,2062-016F-44A2,Support,137.1168,202109,2062-016F-44A2,Support,137.1168,0.0
Support|202110|2062-016F-44A2,2062-016F-44A2,Support,138.107232,202110,2062-016F-44A2,Support,138.10723200000004,2.842170943040401e-14
Support|202111|2062-016F-44A2,2062-016F-44A2,Support,132.90914,202111,2062-016F-44A2,Support,132.90914,0.0
Support|202112|2062-016F-44A2,2062-016F-44A2,Support,135.5657279999999,202112,2062-016F-44A2,Support,135.5657279999999,0.0
